,委托日期,证券代码,证券名称,操作,委托价格,委托数量,委托时间,成交数量,成交均价
0,20191206,600867,通化东宝,撤卖,0.0,6400,08:07:29,0,0.0
1,20191206,002607,中公教育,卖出,1.0,2100,09:36:32,2100,18.88
2,20191206,002049,紫光国微,卖出,1.0,800,09:40:37,800,48.73
0,20191206,600867,通化东宝,融资撤卖,0.0,100,08:07:28,0,0.0
1,20191206,002156,通富微电,卖券还款,1.0,3000,09:31:07,3000,13.07
2,20191206,000661,长春高新,卖券还款,1.0,100,09:31:58,100,445.31
3,20191206,300558,贝达药业,卖券还款,1.0,500,09:34:16,500,70.37
4,20191206,300015,爱尔眼科,卖券还款,1.0,200,09:34:35,200,40.6
5,20191206,000860,顺鑫农业,卖券还款,1.0,800,09:35:55,800,48.82
6,20191206,002414,高德红外,卖券还款,1.0,1800,09:38:54,1800,20.82
7,20191206,002475,立讯精密,卖券还款,1.0,1000,09:40:51,1000,36.55
8,20191206,002273,水晶光电,卖券还款,1.0,2800,09:41:21,2800,15.14
9,20191206,002299,圣农发展,融资买入,26.47,1600,09:41:39,1600,24.51
10,20191206,002371,北方华创,卖券还款,1.0,400,09:41:57,400,88.73
11,20191206,000876,新 希 望,卖券还款,1.0,1900,09:42:09,1900,21.4
12,20191206,000001,平安银行,融资买入,16.97,2500,09:43:39,2500,15.63
13,20191206,002402,和而泰,卖券还款,1.0,3500,09:46:46,3500,11.3
